aggregation,algorithm,place_id,aligned_x,aligned_y,inferred_lat,inferred_lon,displacement_km
mean,spherical,AR,-58.63140549514233,25.75486233605454,-25.75486233605454,-58.63140549514233,983.8492297817287
mean,spherical,AU,146.62459140227418,29.85154519192887,-29.85154519192887,146.6245914022742,647.8788423059357
mean,spherical,BR,-47.02684325984802,8.372763496339713,-8.372763496339713,-47.02684325984803,829.4735103816392
mean,spherical,CA,-61.81928252336412,-53.10495023052909,53.10495023052909,-61.81928252336414,1317.1290604661092
mean,spherical,CN,107.27384937109173,-49.35137825395614,49.35137825395614,107.2738493710917,1269.6183232150727
mean,spherical,DE,14.120368673033198,-51.577876067095154,51.577876067095154,14.120368673033186,116.15191161690194
mean,spherical,EG,32.61421001982819,-35.61252964713776,35.61252964713776,32.614210019828185,631.3295108923508
mean,spherical,FJ,169.00780066117653,21.646214555706646,-21.646214555706646,169.00780066117653,1060.647588333415
mean,spherical,FR,4.778936192429597,-49.15395112096535,49.15395112096535,4.778936192429611,181.2980448590539
mean,spherical,GB,2.6645237170411065,-50.38801802621618,50.38801802621618,2.664523717041115,230.98135307329153
mean,spherical,IN,75.59979482911325,-29.129683367634453,29.129683367634453,75.59979482911328,166.5829994992484
mean,spherical,JP,141.34993348581577,-41.82250047594628,41.82250047594628,141.34993348581574,696.1750292994257
mean,spherical,KE,35.454644321032106,-4.998028508096278,4.998028508096278,35.454644321032134,714.3988839022184
mean,spherical,MX,-85.81840248610143,-24.900896756221393,24.900896756221393,-85.81840248610143,1498.1673972439776
mean,spherical,NG,15.23545014651586,-16.617125094874716,16.617125094874716,15.235450146515847,1182.2654213230312
mean,spherical,NZ,162.93890971039832,35.62271094689261,-35.62271094689261,162.9389097103983,1207.501816333468
mean,spherical,SA,46.39435875162539,-31.0698982241683,31.0698982241683,46.39435875162538,715.619733932129
mean,spherical,TH,95.21740868182525,-16.973483306205242,16.973483306205242,95.21740868182523,671.4223068632326
mean,spherical,US,-66.57089702921449,-43.12633021462315,43.12633021462315,-66.57089702921449,992.9655030413005
mean,spherical,ZA,21.1552344690337,26.097528431574485,-26.097528431574485,21.155234469033708,708.6614838565042
mean,classical,AR,-0.38448255877344195,64.15762739459448,,,
mean,classical,AU,133.32283570821104,47.39275862417698,,,
mean,classical,BR,-61.62899732592201,36.349205332644466,,,
mean,classical,CA,-14.896919296780183,-19.07891700575321,,,
mean,classical,CN,92.53960075205939,-55.80848174325191,,,
mean,classical,DE,3.5755886816512117,-59.3068371304599,,,
mean,classical,EG,20.650084242981293,-57.148226189138825,,,
mean,classical,FJ,125.9177304275216,72.74655048715,,,
mean,classical,FR,-5.964754342020015,-64.16326008979242,,,
mean,classical,GB,-6.681734575550841,-63.17396109208692,,,
mean,classical,IN,75.78997178260897,-48.530886110202594,,,
mean,classical,JP,100.71303212281794,-19.1599444639233,,,
mean,classical,KE,32.480794261756785,-46.92168748295739,,,
mean,classical,MX,-16.380630006209117,41.57353852278376,,,
mean,classical,NG,5.970705141983419,-44.18543458639869,,,
mean,classical,NZ,136.1140248185674,76.11973715784909,,,
mean,classical,SA,39.98448714988746,-56.43285316444837,,,
mean,classical,TH,97.50984783812743,-28.461031602573264,,,
mean,classical,US,-32.73863519267075,-15.236122788765826,,,
mean,classical,ZA,18.35291536975254,-27.05601906944615,,,
mean,metric,AR,2.9737301226883943,59.971681226009714,,,
mean,metric,AU,125.55981364266302,36.88154530633706,,,
mean,metric,BR,-39.619393602914776,27.357335624434917,,,
mean,metric,CA,-18.91537116011463,-5.2209379664086875,,,
mean,metric,CN,76.40091161809389,-23.008678646109026,,,
mean,metric,DE,5.731705015843396,-41.86844869933598,,,
mean,metric,EG,26.316469710267086,-47.75080116873996,,,
mean,metric,FJ,113.22770134881318,66.40198497419615,,,
mean,metric,FR,-2.3056455984410533,-46.062721917772,,,
mean,metric,GB,-3.9312858712200267,-45.08110067699637,,,
mean,metric,IN,70.21894446060867,-38.08131910288138,,,
mean,metric,JP,86.52835216747171,2.728059868083795,,,
mean,metric,KE,43.2921912163705,-67.88753836644075,,,
mean,metric,MX,-20.438082859186174,31.556728022954204,,,
mean,metric,NG,13.839457707607401,-62.47205278878981,,,
mean,metric,NZ,125.92330824170057,62.134156780384934,,,
mean,metric,SA,41.186452612938155,-45.824263649629536,,,
mean,metric,TH,91.65437719764368,-22.660919589802365,,,
mean,metric,US,-38.08186621216924,-8.848392140874392,,,
mean,metric,ZA,44.683695241336295,-98.58856208862056,,,
mean,nonmetric,AR,-9.78721113079829,67.89450703570496,,,
mean,nonmetric,AU,124.46377097829597,39.924352027730286,,,
mean,nonmetric,BR,-39.30321457552265,22.618963058698277,,,
mean,nonmetric,CA,-13.879977461654398,-3.3438720406795586,,,
mean,nonmetric,CN,75.59281909975981,-27.1874027897173,,,
mean,nonmetric,DE,15.477087619040073,-36.062908811759925,,,
mean,nonmetric,EG,29.936338407202786,-52.45038280187495,,,
mean,nonmetric,FJ,112.50443154362765,64.94045131741345,,,
mean,nonmetric,FR,6.896570218269218,-40.979266285591635,,,
mean,nonmetric,GB,5.043643377163548,-40.885316173601396,,,
mean,nonmetric,IN,71.02045424019519,-45.41848009170528,,,
mean,nonmetric,JP,91.6004610005767,-1.1223665107048895,,,
mean,nonmetric,KE,40.124465360110065,-71.16893170041322,,,
mean,nonmetric,MX,-29.187965447320984,31.827665234552228,,,
mean,nonmetric,NG,13.860815141197854,-53.95209193375716,,,
mean,nonmetric,NZ,124.30511518749154,61.01383030966752,,,
mean,nonmetric,SA,41.8087014144714,-51.796687453232245,,,
mean,nonmetric,TH,92.96538572036734,-22.862091258194184,,,
mean,nonmetric,US,-38.21650211567118,-5.577414937014779,,,
mean,nonmetric,ZA,29.020276423198407,-101.73680119552017,,,
median,spherical,AR,-84.38238971112798,4.608013029812695,-4.608013029812695,-84.38238971112798,4275.347075755078
median,spherical,AU,148.2095200907453,27.508769150086056,-27.508769150086056,148.20952009074531,868.8395711728199
