aggregation,algorithm,place_id,aligned_x,aligned_y,inferred_lat,inferred_lon,displacement_km
mean,spherical,AE,53.34314608176828,-24.036298350891006,24.036298350891006,53.34314608176829,114.26349613999808
mean,spherical,AO,11.637401607241003,9.329101647278206,-9.329101647278206,11.637401607240989,183.51126063805165
mean,spherical,AR,-58.25034647948269,34.505619971655726,-34.505619971655726,-58.25034647948269,17.261611934929604
mean,spherical,AT,16.206472536051905,-48.344979278112504,48.344979278112504,16.206472536051916,19.74892160208071
mean,spherical,AU,147.03436525225686,36.976585521722136,-36.976585521722136,147.0343652522569,266.1663776634964
mean,spherical,BD,89.8134098194148,-22.698943233863456,22.698943233863456,89.81340981941483,129.1989201872096
mean,spherical,BE,4.476927210985082,-51.06761634327947,51.06761634327947,4.476927210985098,27.77572306953276
mean,spherical,BF,-1.5495486339269746,-12.913390525326609,12.913390525326609,-1.5495486339269777,60.22201059685159
mean,spherical,BH,50.25251123877118,-26.19389186019355,26.19389186019355,50.25251123877117,33.30692615017888
mean,spherical,BO,-63.988258448243485,18.891566242787704,-18.891566242787704,-63.98825844824348,134.7112692632819
mean,spherical,BR,-47.26447338018062,16.458301890815267,-16.458301890815267,-47.264473380180625,102.65954455863212
mean,spherical,BW,24.932059726092007,23.520819990523922,-23.520819990523922,24.932059726092014,159.86527292739
mean,spherical,CA,-75.58492381331446,-44.93498549606779,44.93498549606779,-75.58492381331445,54.55713807525334
mean,spherical,CD,14.254175694644601,4.947712128983424,-4.947712128983424,14.254175694644603,136.10120017680282
mean,spherical,CH,7.800561258412245,-47.9274896933708,47.9274896933708,7.80056125841226,115.1642403632797
mean,spherical,CI,-4.970829189223252,-7.31804131791904,7.31804131791904,-4.970829189223277,64.94025220027655
mean,spherical,CL,-71.39184132067525,33.92952629411291,-33.92952629411291,-71.39184132067525,85.66711938155096
mean,spherical,CM,9.233726030957541,-4.5735317589383415,4.5735317589383415,9.233726030957554,264.8093918071651
mean,spherical,CN,115.63694148652633,-39.37530341180853,39.37530341180853,115.6369414865263,89.06116942726845
mean,spherical,CO,-72.17882061464873,-3.4038967206182686,3.4038967206182686,-72.17882061464871,249.72046017544073
mean,spherical,CR,-82.28632798536658,-8.171099279793877,8.171099279793877,-82.28632798536658,278.5782812192177
mean,spherical,CU,-76.68781631979908,-20.966995790982722,20.966995790982722,-76.68781631979908,632.7982819718719
mean,spherical,CZ,14.412775246136334,-50.34889644064804,50.34889644064804,14.41277524613633,29.53853756888561
mean,spherical,DE,13.525478454293534,-52.36117542137623,52.36117542137623,13.525478454293522,19.99118886232559
mean,spherical,DJ,40.89098374208956,-10.966255883897206,10.966255883897206,40.890983742089574,255.85653643914944
mean,spherical,DK,12.056866277053473,-56.19522375449973,56.19522375449973,12.056866277053466,65.29570663186283
mean,spherical,DZ,2.639966035449959,-35.906137894362104,35.906137894362104,2.6399660354499557,102.27652630360244
mean,spherical,EC,-77.09305202049039,2.044159675893549,-2.044159675893549,-77.09305202049038,256.8865945625648
mean,spherical,EG,31.224002798372965,-29.795268919102064,29.795268919102064,31.22400279837296,28.63050856710362
mean,spherical,ES,-3.3395529301685087,-40.97152160246452,40.97152160246452,-3.3395529301685176,69.71849129378694
mean,spherical,ET,37.23511327254644,-8.115218589117038,8.115218589117038,37.235113272546435,190.62886984271958
mean,spherical,FI,23.784257455717523,-61.15079461377806,61.15079461377806,23.78425745571754,124.98893890076907
mean,spherical,FJ,179.4758480205095,18.351239349975575,-18.351239349975575,179.47584802050952,111.87517919138067
mean,spherical,FR,2.864385210671429,-48.9720338314905,48.9720338314905,2.8643852106714296,40.60593627016955
mean,spherical,GB,0.05667239204385055,-51.95583697840347,51.95583697840347,0.056672392043865635,51.895565371290374
mean,spherical,GH,-1.3099185626382166,-7.449866684434575,7.449866684434575,-1.3099185626382162,243.04288774607707
mean,spherical,GR,23.417586183049366,-37.97858160158313,37.97858160158313,23.417586183049373,27.511913848322845
mean,spherical,GT,-86.74472044657608,-13.537284436127678,13.537284436127678,-86.74472044657608,425.6135888401032
