id,place_a_id,place_b_id,true_distance_km
AO--MZ,AO,MZ,2788.2828410723064
AO--NA,AO,NA,1574.5135840058651
AO--NG,AO,NG,2080.1823760601865
AO--NL,AO,NL,6826.04260195697
AO--NO,AO,NO,7625.360370993152
AO--NP,AO,NP,8739.386510066946
AO--NZ,AO,NZ,14143.139009143959
AO--OM,AO,OM,6101.5062471645315
AO--PA,AO,PA,10470.26967782858
AO--PE,AO,PE,9845.778856925126
AO--PG,AO,PG,14542.889044501804
AO--PH,AO,PH,12162.128893919244
AO--PK,AO,PK,7881.321787923071
AO--PL,AO,PL,6809.113037552695
AO--PT,AO,PT,5753.282352388308
AO--QA,AO,QA,5610.658950562518
AO--RO,AO,RO,6040.007598311865
AO--RS,AO,RS,5986.483745617269
AO--RU,AO,RU,7506.107188793741
AO--RW,AO,RW,2013.1458878347667
AO--SA,AO,SA,5193.3979905841725
AO--SB,AO,SB,15823.005087901669
AO--SE,AO,SE,7571.629355004058
AO--SG,AO,SG,10108.617908587756
AO--SN,AO,SN,4274.775841417532
AO--TH,AO,TH,9957.692589929997
AO--TN,AO,TN,5061.845758279122
AO--TO,AO,TO,16564.188399607207
AO--TR,AO,TR,5765.533175593958
AO--TZ,AO,TZ,2502.0333905971356
AO--UA,AO,UA,6776.4600893004845
AO--UG,AO,UG,2372.4747738040833
AO--US,AO,US,10643.935912153609
AO--UY,AO,UY,7578.065346058743
AO--UZ,AO,UZ,7969.075478081077
AO--VN,AO,VN,10634.256207680037
AO--VU,AO,VU,16001.306621363734
AO--WS,AO,WS,17438.00950511526
AO--ZA,AO,ZA,2450.091998989052
AO--ZM,AO,ZM,1791.3507353131547
AO--ZW,AO,ZW,2167.8949590945194
AR--AT,AR,AT,11789.40869148443
AR--AU,AR,AU,11758.30968994146
AR--BD,AR,BD,16776.827494420908
AR--BE,AR,BE,11279.247417399754
AR--BF,AR,BF,7937.77201738348
AR--BH,AR,BH,13276.65620429598
AR--BO,AR,BO,1852.6582818109166
AR--BR,AR,BR,2333.5144810867555
AR--BW,AR,BW,8007.5573248991495
AR--CA,AR,CA,9031.715831568095
AR--CD,AR,CD,8250.16360355336
AR--CH,AR,CH,11169.072537156911
AR--CI,AR,CI,7217.227633619542
AR--CL,AR,CL,1139.660312749686
AR--CM,AR,CM,8438.06312363739
AR--CN,AR,CN,19261.112952664003
AR--CO,AR,CO,4640.374060415398
AR--CR,AR,CR,5624.934574255529
AR--CU,AR,CU,6873.786733250523
AR--CZ,AR,CZ,11793.422632706492
AR--DE,AR,DE,11887.678205229642
AR--DJ,AR,DJ,11788.599419143606
AR--DK,AR,DK,12043.353782604738
AR--DZ,AR,DZ,10143.842601055805
AR--EC,AR,EC,4343.948474865368
AR--EG,AR,EG,11806.270501311932
AR--ES,AR,ES,10020.91071488952
AR--ET,AR,ET,11225.784843590129
AR--FI,AR,FI,12925.656160584465
AR--FJ,AR,FJ,11642.45746949547
AR--FR,AR,FR,11025.630755006467
AR--GB,AR,GB,11102.268069921352
AR--GH,AR,GH,7539.559525025004
AR--GR,AR,GR,11672.738469495696
AR--GT,AR,GT,6420.755192023765
AR--HU,AR,HU,11916.724441089356
AR--IE,AR,IE,10963.902616052796
AR--IN,AR,IN,15794.7526620095
AR--IQ,AR,IQ,13077.344736827099
AR--IR,AR,IR,13772.581302050645
AR--IS,AR,IS,11405.220392491123
AR--IT,AR,IT,11131.20670997276
AR--JO,AR,JO,12299.105021673502
AR--JP,AR,JP,18370.21725262342
AR--KE,AR,KE,10410.808770079677
AR--KH,AR,KH,16950.39440207739
AR--KR,AR,KR,19431.621304450513
AR--KW,AR,KW,13198.57392686179
AR--LA,AR,LA,17381.59126769774
AR--LB,AR,LB,12365.167464485112
AR--MA,AR,MA,9305.417619305188
AR--MG,AR,MG,10211.246550506274
AR--MN,AR,MN,18094.04755873193
AR--MR,AR,MR,7358.557192307605
AR--MX,AR,MX,7372.308131811268
AR--MY,AR,MY,15967.59980860726
AR--MZ,AR,MZ,8507.109900667885
AR--NA,AR,NA,7339.197877510938
AR--NG,AR,NG,8446.362395848217
AR--NL,AR,NL,11420.79314209203
AR--NO,AR,NO,12224.016263540156
AR--NP,AR,NP,16503.735410471145
AR--NZ,AR,NZ,10003.231625456845
AR--OM,AR,OM,13870.747694558586
AR--PA,AR,PA,5312.112813868624
AR--PE,AR,PE,3130.6695211171427
AR--PG,AR,PG,14437.074373161806
AR--PH,AR,PH,17788.20333536327
AR--PK,AR,PK,15601.725953155386
AR--PL,AR,PL,12308.20746555706
AR--PT,AR,PT,9574.20669056964
AR--QA,AR,QA,13314.558254796191
AR--RO,AR,RO,12209.371751217523
AR--RS,AR,RS,11847.212493850298
AR--RU,AR,RU,13459.503231297233
AR--RW,AR,RW,9749.70189692784
AR--SA,AR,SA,12854.981363911493
AR--SB,AR,SB,13684.696446273821
AR--SE,AR,SE,12541.33572639846
AR--SG,AR,SG,15887.309757265864
AR--SN,AR,SN,6965.255742849274
AR--TH,AR,TH,16880.505738924476
AR--TN,AR,TN,10623.494014303918
AR--TO,AR,TO,10930.933570500318
AR--TR,AR,TR,12466.927062320188
AR--TZ,AR,TZ,10004.640819282862
AR--UA,AR,UA,12807.053139985803
AR--UG,AR,UG,10123.29584632071
AR--US,AR,US,8360.953336333787
AR--UY,AR,UY,205.87717932578263
AR--UZ,AR,UZ,15435.623626112392
AR--VN,AR,VN,17861.954046251605
AR--VU,AR,VU,12403.055756117166
AR--WS,AR,WS,11180.967562534875
AR--ZA,AR,ZA,8148.626185145644
AR--ZM,AR,ZM,8757.023257452158
AR--ZW,AR,ZW,8858.982294766762
AT--AU,AT,AU,15910.678729826639
AT--BD,AT,BD,6917.648777621979
AT--BE,AT,BE,917.9742357366615
AT--BF,AT,BF,4305.656483883642
AT--BH,AT,BH,3840.9339750029626
AT--BO,AT,BO,10964.81894463177
AT--BR,AT,BR,9511.187874256615
AT--BW,AT,BW,8124.031301397001
AT--CA,AT,CA,6586.265229902963
AT--CD,AT,CD,5820.339136152571
AT--CH,AT,CH,684.2860556704534
AT--CI,AT,CI,5022.864996192302
AT--CL,AT,CL,12489.122073892648
AT--CM,AT,CM,4934.924551007155
AT--CN,AT,CN,7477.895232237133
AT--CO,AT,CO,9664.49967605625
AT--CR,AT,CR,9956.11159982113
AT--CU,AT,CU,8740.884439783422
AT--CZ,AT,CZ,251.17669373332066
AT--DE,AT,DE,524.8847671476991
AT--DJ,AT,DJ,4761.167035014676
AT--DK,AT,DK,871.9021789739552
AT--DZ,AT,DZ,1672.1967238960672
AT--EC,AT,EC,10388.500151551767
AT--EG,AT,EG,2381.4349069461905
AT--ES,AT,ES,1811.9003234935124
AT--ET,AT,ET,4821.42059276915
AT--FI,AT,FI,1442.7249427344427
AT--FJ,AT,FJ,16298.338062499066
AT--FR,AT,FR,1037.5263746075443
AT--GB,AT,GB,1237.8300544281058
AT--GH,AT,GH,4982.696054117392
AT--GR,AT,GR,1282.3029356001082
AT--GT,AT,GT,10015.335446880184
AT--HU,AT,HU,217.68611965306766
AT--IE,AT,IE,1685.9026579816245
AT--IN,AT,IN,5575.814615047639
AT--IQ,AT,IQ,2858.767708713758
AT--IR,AT,IR,3186.5297799748423
AT--IS,AT,IS,2896.8182594820273
AT--IT,AT,IT,764.2094696794076
AT--JO,AT,JO,2443.61659236762
AT--JP,AT,JP,9154.186786120847
AT--KE,AT,KE,5829.050398230648
AT--KH,AT,KH,8954.330281028117
AT--KR,AT,KR,8297.53365185639
AT--KW,AT,KW,3411.1980063765554
AT--LA,AT,LA,8266.069855538797
AT--LB,AT,LB,2251.254175977635
AT--MA,AT,MA,2487.879122185696
AT--MG,AT,MG,8054.310354369553
AT--MN,AT,MN,6323.466152383236
AT--MR,AT,MR,4438.634933449269
AT--MX,AT,MX,10166.359991737414
AT--MY,AT,MY,9401.865294019592
AT--MZ,AT,MZ,8371.156062152919
AT--NA,AT,NA,7838.132899304869
AT--NG,AT,NG,4414.973244125714
AT--NL,AT,NL,936.1554147942668
AT--NO,AT,NO,1353.7936301633047
AT--NP,AT,NP,6242.139134758255
AT--NZ,AT,NZ,18152.820617805537
AT--OM,AT,OM,4599.909495521342
AT--PA,AT,PA,9706.17311078121
AT--PE,AT,PE,11249.921062252488
AT--PG,AT,PG,13739.735588245278
AT--PH,AT,PH,9859.186538202646
AT--PK,AT,PK,4921.963314510675
AT--PL,AT,PL,558.5513685060813
AT--PT,AT,PT,2302.4863004695203
AT--QA,AT,QA,3982.860179726976
AT--RO,AT,RO,857.71599634613
AT--RS,AT,RS,490.1162436235553
AT--RU,AT,RU,1674.6398549289854
AT--RW,AT,RW,5713.315724552479
AT--SA,AT,SA,3732.1309937121287
AT--SB,AT,SB,14530.972696391858
AT--SE,AT,SE,1246.2000152481296
AT--SG,AT,SG,9716.232350301232
AT--SN,AT,SN,4838.175739379106
AT--TH,AT,TH,8450.730274737502
AT--TN,AT,TN,1363.3563038153743
AT--TO,AT,TO,16829.84226064634
AT--TR,AT,TR,1604.5471746938647
AT--TZ,AT,TZ,6316.389994377805
AT--UA,AT,UA,1056.5338962447777
AT--UG,AT,UG,5531.42045828927
AT--US,AT,US,7140.396669967852
AT--UY,AT,UY,11674.710221965981
AT--UZ,AT,UZ,4174.723996559015
AT--VN,AT,VN,8257.368579329235
AT--VU,AT,VU,15783.186324957527
AT--WS,AT,WS,16121.884081890948
AT--ZA,AT,ZA,8270.52871217582
AT--ZM,AT,ZM,7144.564521104254
AT--ZW,AT,ZW,7456.192378747464
AU--BD,AU,BD,8995.963141163435
AU--BE,AU,BE,16714.12913984884
AU--BF,AU,BF,16126.470710971096
AU--BH,AU,BH,12376.948582717569
AU--BO,AU,BO,12987.977613189501
AU--BR,AU,BR,14075.358195321549
AU--BW,AU,BW,11086.847970480729
AU--CA,AU,CA,16104.729525959248
AU--CD,AU,CD,13504.360503430844
AU--CH,AU,CH,16590.869415527504
AU--CI,AU,CI,15918.492181857635
AU--CL,AU,CL,11345.088282272682
AU--CM,AU,CM,14446.816942544116
AU--CN,AU,CN,8980.130816239809
AU--CO,AU,CO,14436.399681031653
AU--CR,AU,CR,13965.910611241634
AU--CU,AU,CU,14900.091149711146
AU--CZ,AU,CZ,16030.559434607703
AU--DE,AU,DE,16060.205223180863
AU--DJ,AU,DJ,12195.648196353799
AU--DK,AU,DK,16028.468287566559
AU--DZ,AU,DZ,16979.37379367375
AU--EC,AU,EC,13713.729505262763
AU--EG,AU,EG,14263.93286552806
AU--ES,AU,ES,17574.421466877073
AU--ET,AU,ET,12442.084906893078
AU--FI,AU,FI,15202.304817605685
AU--FJ,AU,FJ,3459.5502950524574
AU--FR,AU,FR,16917.63537856836
AU--GB,AU,GB,16976.59127449891
AU--GH,AU,GH,15466.274445812925
AU--GR,AU,GR,15201.661293550262
AU--GT,AU,GT,13683.162924244902
AU--HU,AU,HU,15709.405547813738
AU--IE,AU,IE,17231.518863056976
AU--IN,AU,IN,10338.502325503718
AU--IQ,AU,IQ,13270.524214316316
AU--IR,AU,IR,12800.169118666774
AU--IS,AU,IS,16737.083922213937
AU--IT,AU,IT,16216.420011411574
AU--JO,AU,JO,13934.272713134189
AU--JP,AU,JP,7916.886601720884
AU--KE,AU,KE,11938.438068840167
AU--KH,AU,KH,6966.018406407136
AU--KR,AU,KR,8383.398878278069
AU--KW,AU,KW,12769.49913014862
AU--LA,AU,LA,7671.251136834923
AU--LB,AU,LB,14051.623338771447
AU--MA,AU,MA,17823.98557196807
AU--MG,AU,MG,9820.610827065939
AU--MN,AU,MN,10127.211128503954
AU--MR,AU,MR,17605.946831363086
AU--MX,AU,MX,13179.187255642872
AU--MY,AU,MY,6520.550088731684
AU--MZ,AU,MZ,10506.36445784873
AU--NA,AU,NA,11855.921287403067
AU--NG,AU,NG,15163.69563184826
AU--NL,AU,NL,16620.528265072542
AU--NO,AU,NO,15966.082912956443
AU--NP,AU,NP,9670.844258688961
AU--NZ,AU,NZ,2331.7654440152487
AU--OM,AU,OM,11534.640487530218
AU--PA,AU,PA,14297.529795682576
AU--PE,AU,PE,12870.966935523227
AU--PG,AU,PG,2866.113530656194
AU--PH,AU,PH,6269.920053818219
AU--PK,AU,PK,10988.77817833369
AU--PL,AU,PL,15552.021357649579
AU--PT,AU,PT,18058.241733092265
AU--QA,AU,QA,12241.781809354121
AU--RO,AU,RO,15142.38095017895
AU--RS,AU,RS,15591.22133597959
AU--RU,AU,RU,14468.762247285287
AU--RW,AU,RW,12479.614190123317
AU--SA,AU,SA,12623.318465753277
AU--SB,AU,SB,3066.3352384853865
