aggregation,algorithm,place_id,aligned_x,aligned_y,inferred_lat,inferred_lon,displacement_km
mean,spherical,AE,53.803128865831155,-23.747380840877497,23.747380840877497,53.80312886583118,98.32545841808872
mean,spherical,AO,11.580601444436127,9.929479328681893,-9.929479328681893,11.580601444436105,218.20998077438267
mean,spherical,AR,-57.77398789013901,33.74705562210332,-33.74705562210332,-57.773987890139026,110.98621238312968
mean,spherical,AT,16.351232179563482,-47.78195155560136,47.78195155560136,16.35123217956349,46.713724695445244
mean,spherical,AU,146.3159188322868,37.188069581719844,-37.188069581719844,146.3159188322868,329.40962909837504
mean,spherical,BD,89.64968983836593,-23.1842491426603,23.1842491426603,89.6496898383659,97.86465321429746
mean,spherical,BE,4.805026408142908,-50.99523824782618,50.99523824782618,4.805026408142908,37.67010282289866
mean,spherical,BF,-0.09811800994006603,-13.474934155108782,13.474934155108782,-0.09811800994007448,197.49240009687048
mean,spherical,BH,50.36077720722142,-25.888258137407977,25.888258137407977,50.36077720722142,44.60132130879479
mean,spherical,BO,-62.93133112436759,19.19713917839464,-19.19713917839464,-62.93133112436759,245.21646807727464
mean,spherical,BR,-46.219372981734864,16.367107807474667,-16.367107807474667,-46.21937298173487,192.82466607285116
mean,spherical,BW,23.878179570999094,23.43442489251907,-23.43442489251907,23.878179570999087,246.59707863476717
mean,spherical,CA,-75.3628672763074,-45.28332996046709,45.28332996046709,-75.36286727630738,30.4717820325366
mean,spherical,CD,14.708632741863738,4.796120934367371,-4.796120934367371,14.708632741863724,84.85309293098301
mean,spherical,CH,7.949800981605847,-47.38288985124421,47.38288985124421,7.94980098160587,63.40724761028707
mean,spherical,CI,-4.674054594298042,-8.135470167509352,8.135470167509352,-4.674054594298054,160.76525268767827
mean,spherical,CL,-68.63498380510741,34.40785285621564,-34.40785285621564,-68.63498380510741,215.88023503810354
mean,spherical,CM,10.396677327984406,-3.986825060055517,3.986825060055517,10.39667732798441,124.72134850365563
mean,spherical,CN,115.2330821983935,-39.641892645974714,39.641892645974714,115.23308219839352,103.64622509656162
mean,spherical,CO,-69.6579540672882,-2.4836195951236992,2.4836195951236992,-69.65795406728819,544.7017554791069
mean,spherical,CR,-81.35603142886059,-8.428377303864751,8.428377303864751,-81.35603142886058,343.4154343208211
mean,spherical,CU,-75.9497637401293,-21.084421819999097,21.084421819999097,-75.94976374012928,699.0916270263933
mean,spherical,CZ,14.471705836519192,-50.25360654252885,50.25360654252885,14.471705836519183,18.72472388061696
mean,spherical,DE,13.651778799940871,-52.35148380005505,52.35148380005505,13.651778799940871,25.674844240421983
mean,spherical,DJ,41.349581485472555,-10.726955465951084,10.726955465951084,41.349581485472555,218.64992102490226
mean,spherical,DK,12.6754884167365,-55.78304144511264,55.78304144511264,12.675488416736506,13.449219287037472
mean,spherical,DZ,3.2391403320247036,-36.23859917186114,36.23859917186114,3.2391403320247134,60.9615127818513
mean,spherical,EC,-74.74436563992383,1.289852283403527,-1.289852283403527,-74.74436563992384,434.6073413561225
mean,spherical,EG,31.1723490679465,-29.460640283414175,29.460640283414175,31.1723490679465,66.15041113592932
mean,spherical,ES,-3.0425303417510747,-40.6285442173834,40.6285442173834,-3.0425303417510867,59.892239212052125
mean,spherical,ET,36.97531608645599,-8.228825920086463,8.228825920086463,36.97531608645598,209.54480310155617
mean,spherical,FI,24.54753176657755,-60.402857438822956,60.402857438822956,24.547531766577567,32.821023725263466
mean,spherical,FJ,177.3773063587476,18.31451182863955,-18.31451182863955,177.3773063587476,114.21655248488793
mean,spherical,FR,2.7994382689486486,-48.99067235655761,48.99067235655761,2.799438268948659,36.786649221779214
mean,spherical,GB,-0.14447984494870525,-51.94201903023454,51.94201903023454,-0.14447984494870172,48.96680128086007
mean,spherical,GH,-0.6771192117812745,-7.071729775122252,7.071729775122252,-0.6771192117812743,176.4209481147177
mean,spherical,GR,23.315875982659236,-37.7112181335882,37.7112181335882,23.315875982659247,47.535148027386704
mean,spherical,GT,-85.28702974447003,-13.360016093813664,13.360016093813664,-85.28702974447005,582.7313141585767
mean,spherical,HU,19.417682535180546,-47.39358300458874,47.39358300458874,19.417682535180532,28.013440245739524
mean,spherical,IE,-5.4103952139038824,-53.513557705101576,53.513557705101576,-5.410395213903882,59.121081516811444
mean,spherical,IN,77.37701108691994,-27.478700443205458,27.478700443205458,77.37701108691994,125.89019301521367
mean,spherical,IQ,44.32148056618243,-32.99141835579936,32.99141835579936,44.32148056618243,39.37635315054041
mean,spherical,IR,50.63362931798525,-34.29391801352633,34.29391801352633,50.63362931798526,169.4368251296647
mean,spherical,IS,-18.759883375214287,-64.0020173866241,64.0020173866241,-18.759883375214272,155.93302612752615
mean,spherical,IT,12.855932021749112,-42.115176011075704,42.115176011075704,12.855932021749123,39.265573154225905
mean,spherical,JO,36.70536283048639,-31.43237326692455,31.43237326692455,36.7053628304864,93.27905679851823
mean,spherical,JP,138.74372342773376,-36.143256632662286,36.143256632662286,138.74372342773376,103.81450200297074
mean,spherical,KE,34.56730307233266,1.2973024827054593,-1.2973024827054593,34.56730307233264,249.84367998711497
mean,spherical,KH,105.81438993947069,-14.761532561869785,14.761532561869785,105.81438993947067,369.9395853630344
mean,spherical,KR,126.2612144945906,-37.77230463941907,37.77230463941907,126.26121449459058,68.68361931556893
mean,spherical,KW,47.932000821569545,-28.708908219573367,28.708908219573367,47.932000821569545,73.82121692869804
mean,spherical,LA,104.61935553377157,-20.03831999034321,20.03831999034321,104.61935553377158,313.2583588268519
mean,spherical,LB,34.86661962262326,-33.633133628290366,33.633133628290366,34.86661962262324,65.04091603531525
mean,spherical,MA,-6.3471793240545935,-34.69651583287759,34.69651583287759,-6.347179324054593,87.1032667760567
mean,spherical,MG,43.88050034168313,19.763725225365064,-19.763725225365064,43.88050034168314,392.8032501858863
mean,spherical,MN,107.00456188050134,-45.970398444394704,45.970398444394704,107.00456188050131,216.73994806846102
mean,spherical,MR,-13.107989017574198,-20.541439458565694,20.541439458565694,-13.107989017574221,406.2457564919323
mean,spherical,MX,-97.30137811038506,-19.547720772534777,19.547720772534777,-97.30137811038507,192.3256374819789
mean,spherical,MY,101.70602930152779,-3.982719834591499,3.982719834591499,101.7060293015278,90.52913115896712
mean,spherical,MZ,30.860978086272553,24.523996884571364,-24.523996884571364,30.86097808627256,235.3788642408277
mean,spherical,NA,16.706140643197045,22.20242766763779,-22.20242766763779,16.70614064319703,56.35829815115843
mean,spherical,NG,6.746420189527669,-9.522619822137173,9.522619822137173,6.746420189527659,98.91509944180164
mean,spherical,NL,5.168189745878919,-52.610225786712824,52.610225786712824,5.168189745878924,33.461938248546794
mean,spherical,NO,11.235037524862008,-59.91244812356385,59.91244812356385,11.235037524862001,27.15401179908325
mean,spherical,NP,85.2343865239784,-27.34491254968317,27.34491254968317,85.23438652397839,42.304171850856456
mean,spherical,NZ,173.46990980519104,41.77825063745935,-41.77825063745935,173.469909805191,121.55852264290456
mean,spherical,OM,56.86507468999079,-22.890592846371465,22.890592846371465,56.865074689990784,193.98931342091407
mean,spherical,PA,-77.47389198028715,-7.868643945363644,7.868643945363644,-77.47389198028715,257.6700794615427
mean,spherical,PE,-76.00331065663369,11.56544235388147,-11.56544235388147,-76.00331065663369,126.03475509552285
mean,spherical,PG,146.41630799054172,8.8740050913325,-8.8740050913325,146.41630799054172,107.58405792021541
mean,spherical,PH,120.2700239266349,-15.530784200792304,15.530784200792304,120.27002392663488,128.0133071521599
mean,spherical,PK,70.85049751255025,-30.178834451806324,30.178834451806324,70.85049751255026,448.4636756467833
mean,spherical,PL,20.241925712928037,-52.197269162663694,52.197269162663694,20.241925712928037,51.86068337283269
mean,spherical,PT,-7.867678346715081,-39.47698491872365,39.47698491872365,-7.867678346715056,138.4941558572477
mean,spherical,QA,51.90481600500772,-25.75982968690349,25.75982968690349,51.904816005007724,64.51108378307492
mean,spherical,RO,24.84299125023273,-44.69344389993417,44.69344389993417,24.84299125023271,103.48357505979729
mean,spherical,RS,20.18340097677148,-45.269743259770166,45.269743259770166,20.183400976771477,54.65752725427685
mean,spherical,RU,38.18503296323249,-55.384758578053955,55.384758578053955,38.185032963232494,54.56656791164956
mean,spherical,RW,27.98160558568864,2.3435532259824594,-2.3435532259824594,27.981605585688648,234.86562225415582
mean,spherical,SA,45.86349628332911,-24.923090694022587,24.923090694022587,45.86349628332913,96.75357357897423
mean,spherical,SB,161.4152765788446,9.926572886615297,-9.926572886615297,161.4152765788446,169.57388487075306
mean,spherical,SE,16.98067810994519,-59.266386264689196,59.266386264689196,16.98067810994517,63.98741587430238
mean,spherical,SG,104.22285700900403,-2.7573601779589305,2.7573601779589305,104.22285700900402,167.69931771918863
mean,spherical,SN,-16.70471061524549,-15.47776342913024,15.47776342913024,-16.704710615245496,118.242148181585
mean,spherical,TH,101.03691883278753,-14.614381466774374,14.614381466774374,101.03691883278753,111.20240227347922
mean,spherical,TN,9.6151708281092,-36.95500721521501,36.95500721521501,9.615170828109205,52.986821956398465
mean,spherical,TO,-175.1672991986916,20.34535753812055,-20.34535753812055,-175.1672991986916,88.36863503570045
mean,spherical,TR,32.88591266513444,-39.816321494801635,39.816321494801635,32.88591266513444,12.708534103044041
mean,spherical,TZ,33.30554445506871,4.930672022419843,-4.930672022419843,33.30554445506872,304.280441447746
mean,spherical,UA,29.813017489454808,-50.022796399962246,50.022796399962246,29.813017489454822,67.78770285340208
mean,spherical,UG,28.746268578696146,-0.9668868282046603,0.9668868282046603,28.746268578696156,432.466316888785
mean,spherical,US,-76.61542078925139,-39.16508526726321,39.16508526726321,-76.61542078925139,45.04057624296159
mean,spherical,UY,-54.66097159108813,33.21161415444675,-33.21161415444675,-54.66097159108813,229.88391087857428
mean,spherical,UZ,68.52755296765656,-40.44018697111699,40.44018697111699,68.52755296765659,116.50950178081497
mean,spherical,VN,106.37262368825554,-21.710201680313535,21.710201680313535,106.37262368825552,92.6421721526041
mean,spherical,VU,169.43580040774623,17.790452531230954,-17.790452531230954,169.43580040774626,118.68282074702569
mean,spherical,WS,-173.80791669447683,13.781443028837042,-13.781443028837042,-173.80791669447683,223.53956366782748
mean,spherical,ZA,26.274619904944046,26.58684026473494,-26.58684026473494,26.274619904944046,218.1991787657705
